weeks_included,model,team_name,model_name,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name,eval_date
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,EE,0.97,0.56,0,1,0.38,4,1,Estonia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,EE,0.69,0.51,0.75,1,0.15,8,1,Estonia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,EE,0.59,0.49,0.75,1,0.11,8,1,Estonia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,EE,0.58,0.61,0.86,1,0.21,7,1,Estonia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,EE,0.47,0.56,0.86,1,0.19,7,1,Estonia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,EE,0.62,0.57,0.67,1,0.3,6,1,Estonia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,EE,0.52,0.51,0.67,1,0.28,6,1,Estonia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,EE,0.79,0.76,0.8,1,0.44,5,1,Estonia,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,EE,0.64,0.61,1,1,0.38,5,1,Estonia,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,ES,0.96,1.1,0.86,1,-0.2,7,1,Spain,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,ES,1.23,1.03,0.71,1,-0.4,7,1,Spain,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,ES,0.99,1.03,0.67,1,-0.25,6,1,Spain,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,ES,1.13,1.06,0.5,1,-0.43,6,1,Spain,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,ES,0.97,1.01,0.8,1,-0.02,5,1,Spain,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,3,ES,1.27,1.12,0.2,1,-0.54,5,1,Spain,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,4,ES,0.87,0.8,0.5,1,-0.12,4,1,Spain,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,4,ES,1.41,1.23,0.25,1,-0.7,4,1,Spain,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Deaths,1,ES,0.17,0.9,1,1,0.05,4,1,Spain,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Deaths,1,ES,0.24,0.82,1,1,-0.03,4,1,Spain,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,1,ES,0.82,1.13,0.5,0.88,0.3,8,1,Spain,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,1,ES,0.68,0.95,0.75,0.88,0.16,8,1,Spain,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,2,ES,0.97,0.94,0.57,0.71,0.16,7,1,Spain,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,2,ES,0.68,0.66,0.57,0.86,0.04,7,1,Spain,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,3,ES,1.28,0.95,0.67,1,-0.05,6,1,Spain,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,3,ES,1.26,0.89,0.67,0.83,-0.25,6,1,Spain,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Deaths,4,ES,0.73,0.74,0.8,0.8,0.18,5,1,Spain,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Deaths,4,ES,0.42,0.38,0.8,1,-0.14,5,1,Spain,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,FR,0.79,0.65,0.67,1,0.22,6,1,France,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,FR,0.96,0.64,0.67,1,0.23,6,1,France,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,FR,0.75,0.77,0.4,1,0.12,5,1,France,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,FR,0.77,0.81,0.4,1,0.16,5,1,France,2021-05-03
All,Weighted mean,EuroCOVIDhub,All_relative_skill_weighted_mean,Cases,1,GB,0.97,0.76,0.5,0.75,0.02,4,1,United Kingdom,2021-05-03
All,Weighted median,EuroCOVIDhub,All_relative_skill_weighted_median,Cases,1,GB,1,0.73,0.5,0.75,-0,4,1,United Kingdom,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,1,GB,0.96,0.77,0.5,0.88,-0.04,8,1,United Kingdom,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,1,GB,0.93,0.73,0.38,0.88,-0.07,8,1,United Kingdom,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,2,GB,0.95,0.79,0.43,0.71,-0.07,7,1,United Kingdom,2021-05-03
All,Unweighted median,EuroCOVIDhub,median,Cases,2,GB,0.92,0.77,0.43,0.86,-0.07,7,1,United Kingdom,2021-05-03
All,Unweighted mean,EuroCOVIDhub,mean,Cases,3,GB,0.91,0.82,0.33,0.83,0.03,6,1,United Kingdom,2021-05-03
